gender,age,birthplace,M17,M18,M19,M21,M22,M23,M24,M26,M27,M28,M29,M30,M32,M33,M34,M35,M36,M38,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M51,M53,M55,M56,M57,Probability
1,1,0,5.0,8.0,5.5,6.0,6.5,5.0,5.0,2.5,7.0,4.5,4.5,5.0,2.5,0.0,0.0,2.5,5.0,6.5,6.0,3.5,7.0,4.5,5.0,6.5,7.0,4.0,4.0,3.0,5.0,6.0,6.0,3.0,2.0,0
1,1,0,5.5,7.0,6.5,7.0,6.0,5.5,5.5,6.0,7.5,7.5,7.5,5.5,5.5,7.5,6.0,7.0,4.5,6.5,5.5,5.5,2.5,5.0,6.0,6.5,7.0,6.0,6.0,7.5,5.5,6.5,5.0,6.0,7.5,0
1,1,0,5.5,7.5,5.5,7.5,6.0,6.0,5.5,6.0,6.5,5.5,3.0,5.0,4.5,7.0,4.5,6.5,6.5,7.5,5.5,5.0,6.0,5.5,7.0,7.5,6.5,5.57,2.5,6.0,5.0,7.0,6.0,8.5,3.0,0
1,1,0,5.0,5.92,6.5,7.5,6.5,6.0,5.92,5.0,6.0,6.0,6.5,5.0,7.5,5.0,6.5,6.0,6.5,5.0,5.92,8.0,5.92,6.5,5.5,5.0,6.0,5.0,5.92,8.5,7.0,8.0,5.0,9.0,6.0,0
1,1,0,5.0,8.0,6.0,8.0,8.0,7.5,4.0,0.5,7.0,3.5,7.0,7.5,5.0,7.0,7.5,6.5,5.5,6.0,5.5,1.5,7.0,5.0,7.5,6.0,8.5,6.0,6.0,7.5,6.0,7.5,3.5,7.5,6.0,0
1,1,0,5.5,7.5,5.5,8.0,6.0,6.0,6.5,5.0,6.0,5.5,5.5,6.5,5.0,7.0,6.0,8.0,6.0,7.0,5.0,7.5,7.5,7.0,6.0,7.0,7.0,5.79,5.0,6.0,5.5,7.0,6.5,6.5,2.5,0
1,1,0,7.5,7.5,5.0,6.5,5.5,4.5,4.0,4.5,7.0,5.5,6.5,4.5,0.0,5.5,6.5,6.5,5.5,5.0,4.5,4.5,0.0,4.0,6.0,5.0,5.5,5.5,2.5,7.0,2.5,2.5,7.0,7.0,5.5,0
1,1,0,5.0,8.5,5.5,8.5,7.0,6.0,6.0,5.5,6.0,6.0,6.5,6.0,5.5,6.0,8.0,8.0,5.5,7.5,6.0,6.5,7.0,6.5,5.0,7.5,8.0,5.87,6.5,0.0,6.0,6.5,6.5,7.5,2.5,0
1,1,0,7.0,9.0,6.5,8.0,7.5,7.0,6.0,5.0,7.5,5.0,8.0,5.5,5.0,7.0,7.5,7.5,5.5,6.0,6.0,6.0,7.5,6.0,6.5,7.5,5.5,6.5,6.5,5.5,6.5,7.0,7.0,6.5,2.5,0
1,1,0,7.5,7.5,6.0,7.5,5.5,5.0,4.5,4.5,7.5,6.5,7.0,5.5,5.5,7.5,6.0,7.5,6.0,7.5,6.0,6.5,5.5,7.5,6.5,7.5,7.0,5.72,7.0,7.5,7.5,7.0,0.5,7.5,5.5,0
1,1,0,5.0,5.92,6.0,7.5,7.5,6.0,5.92,6.0,5.0,7.0,7.0,5.5,7.5,5.5,5.5,5.0,6.5,6.0,5.92,5.0,5.92,6.5,6.0,5.0,6.5,6.0,5.92,8.0,7.0,7.0,5.5,8.0,5.0,0
1,1,0,8.0,7.0,5.0,7.5,7.0,5.5,5.5,6.0,6.0,5.0,6.5,6.0,5.0,8.0,7.5,8.5,6.0,7.5,5.5,7.0,6.0,6.5,6.5,7.5,6.5,5.43,2.5,3.0,7.0,7.0,5.0,7.5,2.5,0
1,1,0,5.5,5.74,7.0,6.5,7.0,5.5,5.74,5.0,5.0,7.0,8.0,5.0,6.5,6.0,7.5,5.5,5.5,6.0,5.74,6.0,5.74,5.5,5.0,5.0,6.0,5.0,5.74,7.0,5.5,8.5,5.0,7.5,7.0,0
1,1,0,7.0,7.5,5.5,7.0,6.0,5.0,6.0,6.0,6.0,6.5,7.5,4.5,6.0,5.0,6.5,2.5,4.5,8.0,5.5,7.5,5.5,5.0,7.5,8.0,7.0,4.89,2.5,0.0,6.0,7.5,5.5,6.5,2.0,0
1,1,0,6.5,5.65,6.0,6.0,6.5,5.5,5.65,6.5,5.5,5.0,6.0,5.0,6.5,5.0,7.5,5.0,5.5,6.5,5.65,5.5,5.65,7.5,6.0,5.0,6.5,5.0,5.65,6.5,6.5,9.0,5.0,7.0,5.0,0
