gender,age,birthplace,M17,M18,M19,M21,M22,M23,M24,M26,M27,M28,M29,M30,M32,M33,M34,M35,M36,M38,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M51,M53,M55,M56,M57,Probability
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0
1,0,0,6.5,8.5,6.5,7.0,9.0,6.0,6.0,5.5,7.0,6.0,6.0,6.0,5.0,5.5,7.0,7.5,6.0,7.5,5.5,5.0,7.5,5.0,6.0,7.0,7.5,4.0,4.0,2.0,5.5,5.0,0.0,3.5,2.5,0
1,0,0,5.0,5.9,7.0,7.0,7.5,5.5,5.9,5.5,5.0,5.0,5.0,5.0,5.5,6.0,7.5,5.0,6.0,6.0,5.9,6.5,5.9,5.5,6.0,6.5,6.0,6.5,5.9,7.0,7.0,9.5,5.5,8.5,5.5,0
1,0,0,6.0,6.5,0.0,5.5,6.0,0.0,5.5,8.0,8.0,6.0,5.5,8.0,7.0,5.0,8.0,8.0,5.5,7.5,7.0,6.0,7.5,6.5,7.0,6.5,7.5,7.5,3.0,0.0,6.0,4.0,0.0,0.5,2.5,0
1,0,0,5.5,7.0,6.0,7.5,6.5,6.5,4.0,6.5,6.5,6.0,6.5,7.0,5.5,7.0,6.0,7.0,6.5,8.0,5.5,7.0,6.0,6.5,6.5,8.0,7.5,6.41,6.0,7.0,6.5,7.0,7.0,7.0,2.5,0
1,0,0,5.0,8.0,5.5,8.0,5.5,6.5,7.0,6.0,8.0,6.0,8.0,6.0,6.0,7.0,0.5,7.5,6.0,8.0,5.0,8.0,7.0,7.0,6.5,8.0,8.0,5.67,5.0,3.0,3.0,7.0,4.5,7.5,8.0,0
1,0,0,6.0,8.0,5.0,7.5,6.5,6.0,5.5,7.5,8.0,6.0,6.5,7.5,6.0,7.5,8.0,6.5,6.0,7.0,5.0,5.0,6.0,8.5,7.0,0.0,8.0,7.0,7.0,5.0,5.0,7.0,7.0,5.0,1.5,0
1,0,0,5.0,5.83,7.5,5.5,7.0,5.0,5.83,6.5,5.5,6.0,6.5,5.0,6.5,5.5,8.0,5.0,6.5,6.0,5.83,6.5,5.83,7.5,6.0,5.5,6.5,5.5,5.83,7.0,6.0,7.5,5.0,8.0,5.5,0
1,0,0,5.0,5.58,7.0,5.5,7.0,5.5,5.58,5.0,6.0,7.0,5.5,5.5,5.0,5.5,7.5,5.0,5.0,7.0,5.58,5.0,5.58,7.5,5.0,5.5,5.5,5.0,5.58,6.5,6.0,7.5,6.0,8.0,5.0,0
1,0,0,0.0,0.0,5.5,6.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.5,0.0,7.0,7.0,5.5,7.5,6.0,7.0,6.0,5.5,6.0,7.0,7.0,6.0,6.0,6.0,6.0,5.0,7.0,5.0,2.5,0
1,0,0,7.0,7.0,6.0,7.0,6.5,5.0,5.0,6.0,6.0,5.5,7.5,6.0,5.0,6.0,5.0,7.5,5.5,6.5,6.0,6.5,6.0,5.5,7.0,6.5,7.0,5.91,5.5,7.0,7.5,5.5,1.0,6.0,3.0,0
1,0,0,5.0,5.68,6.0,7.5,7.0,5.0,5.68,5.0,5.5,5.0,5.0,5.5,6.5,6.0,6.5,6.0,6.0,5.5,5.68,5.5,5.68,6.0,7.5,6.5,6.0,5.0,5.68,7.0,5.0,8.0,5.5,7.0,5.5,0
1,0,0,5.0,8.0,5.5,5.5,5.0,5.5,5.0,5.5,6.5,5.0,5.5,5.0,5.5,5.0,7.5,5.5,6.0,8.0,5.0,5.5,5.5,5.5,6.0,6.5,7.0,6.0,6.5,6.0,6.0,6.0,7.0,6.0,7.0,0
