Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Probability
1,1,1,2,1,1,1,1,28,6,8,1,0,1,0,1,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.7,3.7,-1.7,1
1,1,3,15,1,1,1,1,1,5,8,1,0,1,1,1,1,18,0,0,6,6,6,14.333333333333334,0,0,6,6,6,15.333333333333334,0,11.1,0.6,2.02,1
1,1,1,4,1,1,1,23,28,5,9,0,0,1,1,1,0,21,0,8,12,13,12,14.538461538461538,0,4,12,14,12,14.461538461538462,0,15.5,2.8,-4.06,1
2,12,1,15,1,12,1,22,27,7,7,0,0,1,1,1,1,49,0,0,6,8,6,12.285714285714286,0,0,6,7,6,14.166666666666666,0,10.8,1.4,1.74,1
1,1,6,12,1,1,1,13,27,4,6,1,0,1,1,1,1,20,0,0,7,7,7,13.314285714285717,0,0,8,8,8,12.575,0,12.4,0.5,1.79,1
1,15,1,2,1,14,1,3,3,3,3,0,0,1,1,1,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,1
1,1,6,12,1,1,1,1,1,10,10,1,1,1,1,1,0,19,0,2,7,8,7,13.075,0,1,8,11,8,12.36111111111111,0,12.4,0.5,1.79,1
1,1,1,15,1,1,1,1,14,10,10,0,0,1,1,1,1,19,0,0,6,6,6,12.666666666666666,0,0,6,6,6,14.0,0,16.2,0.3,-0.92,1
1,7,2,5,1,1,1,1,1,4,2,1,0,1,1,1,0,19,0,0,6,11,5,11.2,0,0,6,7,6,12.0,0,9.4,-0.8,-3.12,1
1,1,1,4,1,1,1,1,14,32,45,0,0,1,1,1,0,18,0,0,6,6,5,15.0,0,0,6,8,4,14.5,0,8.9,1.4,3.51,1
1,1,1,2,1,1,1,23,27,10,9,1,0,1,0,1,1,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.7,3.7,-1.7,1
1,9,1,2,1,1,1,13,2,6,6,1,0,1,1,1,1,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.4,0.5,1.79,1
1,6,1,9,1,1,12,22,2,7,5,0,0,1,1,1,0,19,1,0,5,12,3,10.5,0,0,5,8,4,11.25,0,12.4,0.5,1.79,1
1,16,1,14,1,1,1,3,3,2,11,0,0,1,1,1,0,21,0,5,11,12,10,12.1,0,2,8,9,8,13.333333333333334,0,11.1,0.6,2.02,1
1,1,3,5,1,1,1,28,3,15,21,1,0,1,1,1,0,19,0,0,6,6,6,12.0,0,0,6,7,6,13.571428571428571,0,8.9,1.4,3.51,1
1,6,1,10,1,1,12,13,1,10,10,1,0,1,0,1,0,22,1,0,6,10,5,11.5,0,0,6,8,5,12.4,0,13.9,-0.3,0.79,1
1,8,4,15,1,1,1,1,14,10,9,1,0,1,1,1,1,19,0,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,1
1,12,1,17,0,12,1,23,14,10,11,0,0,1,1,1,1,34,0,0,5,11,5,14.714285714285714,0,0,5,14,5,14.375,5,16.2,0.3,-0.92,1
1,1,1,9,1,1,1,3,14,4,4,0,0,1,1,1,0,19,0,0,5,7,5,13.6,0,0,5,11,5,12.833333333333334,5,16.2,0.3,-0.92,1
2,12,1,17,0,12,1,22,27,10,8,0,0,1,1,1,0,50,0,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,1
