Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Tuition fees up to date,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Gender,Debtor,Probability
Single,Online,1,Computer Science,Daytime,Bachelor's degree,,Master's degree,PhD,Engineer,Doctor,No,No,Yes,No,20,No,,,,,,,,,,,,,5%,2%,$20,0,0,1
Married,In-person,2,Business Administration,Evening,High School diploma,,Bachelor's degree,Bachelor's degree,Teacher,Accountant,Yes,Yes,No,Yes,25,Yes,,,,,,,,,,,,,4%,3%,$25,0,0,1
Divorced,Hybrid,3,Psychology,Daytime,Associate's degree,,High School diploma,High School diploma,Nurse,Police officer,No,No,Yes,No,22,No,,,,,,,,,,,,,3%,4%,$30,0,0,1
Single,Online,1,Nursing,Evening,Master's degree,,PhD,Master's degree,Scientist,Engineer,Yes,Yes,No,Yes,28,Yes,,,,,,,,,,,,,2%,5%,$35,0,0,1
Married,In-person,2,Education,Daytime,Bachelor's degree,,High School diploma,Bachelor's degree,Artist,Writer,No,No,Yes,No,30,No,,,,,,,,,,,,,1%,6%,$40,0,0,1
Divorced,Hybrid,3,Economics,Evening,High School diploma,,Bachelor's degree,Master's degree,Lawyer,Judge,Yes,Yes,No,Yes,26,Yes,,,,,,,,,,,,,4%,3%,$45,0,0,1
Single,Online,1,Medicine,Daytime,Associate's degree,,Master's degree,PhD,Dentist,Surgeon,No,No,Yes,No,24,No,,,,,,,,,,,,,3%,4%,$50,0,0,1
Married,In-person,2,Engineering,Evening,Bachelor's degree,,PhD,Master's degree,Professor,Researcher,Yes,Yes,No,Yes,27,Yes,,,,,,,,,,,,,2%,5%,$55,0,0,1
Divorced,Hybrid,3,Sociology,Daytime,High School diploma,,Bachelor's degree,Bachelor's degree,Social worker,Counselor,No,No,Yes,No,23,No,,,,,,,,,,,,,1%,6%,$60,0,0,1
Single,Online,1,Law,Evening,Master's degree,,PhD,Master's degree,Judge,Lawyer,Yes,Yes,No,Yes,29,Yes,,,,,,,,,,,,,4%,3%,$65,0,0,1
Married,In-person,2,Environmental Science,Daytime,Bachelor's degree,,High School diploma,Bachelor's degree,Environmentalist,Biologist,No,No,Yes,No,31,No,,,,,,,,,,,,,3%,4%,$70,0,0,1
Divorced,Hybrid,3,History,Evening,High School diploma,,Bachelor's degree,Master's degree,Historian,Archaeologist,Yes,Yes,No,Yes,27,Yes,,,,,,,,,,,,,2%,5%,$75,0,0,1
Single,Online,1,Public Health,Daytime,Associate's degree,,Master's degree,PhD,Public health official,Epidemiologist,No,No,Yes,No,25,No,,,,,,,,,,,,,1%,6%,$80,0,0,1
Married,In-person,2,Political Science,Evening,Bachelor's degree,,PhD,Master's degree,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Single,Online,1,Computer Science,Daytime,Bachelor's degree,,Master's degree,PhD,Engineer,Doctor,No,No,Yes,No,20,No,,,,,,,,,,,,,5%,2%,2.5%,0,0,1
Married,In-person,2,Business Administration,Evening,High School diploma,,Bachelor's degree,Bachelor's degree,Teacher,Accountant,Yes,Yes,No,Yes,25,Yes,,,,,,,,,,,,,4%,3%,3%,0,0,1
Divorced,Hybrid,3,Psychology,Daytime,Associate's degree,,High School diploma,High School diploma,Nurse,Police officer,No,No,Yes,No,30,No,,,,,,,,,,,,,3%,4%,4%,0,0,1
Single,Online,1,Nursing,Evening,Master's degree,,PhD,Master's degree,Scientist,Engineer,Yes,Yes,No,Yes,22,Yes,,,,,,,,,,,,,2%,5%,5%,0,0,1
Married,In-person,2,Economics,Daytime,Bachelor's degree,,High School diploma,Bachelor's degree,Secretary,Lawyer,No,No,Yes,No,28,No,,,,,,,,,,,,,1%,6%,6%,0,0,1
Divorced,Hybrid,3,Marketing,Evening,High School diploma,,Bachelor's degree,Associate's degree,Artist,Chef,Yes,Yes,No,Yes,32,Yes,,,,,,,,,,,,,4%,3%,3%,0,0,1
