Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Tuition fees up to date,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Gender,Debtor,Probability
Single,Online,First,Computer Science,Daytime,Bachelor's degree,,Master's degree,PhD,Engineer,Doctor,No,No,Yes,No,20,No,,,,,,,,,,,,,5%,2%,$20,0,1,1
Married,In-person,Second,Business Administration,Evening,High school diploma,,Bachelor's degree,Bachelor's degree,Teacher,Accountant,Yes,Yes,No,Yes,25,Yes,,,,,,,,,,,,,4%,3%,$25,0,1,1
Divorced,Hybrid,Third,Psychology,Daytime,Associate's degree,,High school diploma,High school diploma,Nurse,Police officer,No,No,Yes,No,30,No,,,,,,,,,,,,,3%,4%,$30,0,1,1
Single,Online,First,Engineering,Daytime,Master's degree,,PhD,Master's degree,Scientist,Engineer,No,No,Yes,No,22,Yes,,,,,,,,,,,,,2%,5%,$35,0,1,1
Married,In-person,Second,Nursing,Evening,Bachelor's degree,,High school diploma,Bachelor's degree,Chef,Lawyer,Yes,Yes,No,Yes,27,No,,,,,,,,,,,,,1%,6%,$40,0,1,1
Divorced,Hybrid,Third,Economics,Daytime,High school diploma,,Bachelor's degree,Master's degree,Architect,Professor,No,No,Yes,No,32,Yes,,,,,,,,,,,,,2%,7%,$45,0,1,1
Single,Online,First,Education,Evening,Associate's degree,,High school diploma,High school diploma,Librarian,Firefighter,No,No,Yes,No,24,No,,,,,,,,,,,,,3%,8%,$50,0,1,1
Married,In-person,Second,Medicine,Daytime,Master's degree,,PhD,Bachelor's degree,Psychologist,Dentist,Yes,Yes,No,Yes,29,Yes,,,,,,,,,,,,,4%,9%,$55,0,1,1
Divorced,Hybrid,Third,Sociology,Evening,Bachelor's degree,,High school diploma,High school diploma,Social worker,Electrician,No,No,Yes,No,31,No,,,,,,,,,,,,,5%,10%,$60,0,1,1
Single,Online,First,Environmental Science,Daytime,High school diploma,,Bachelor's degree,Master's degree,Biologist,Pilot,No,No,Yes,No,23,Yes,,,,,,,,,,,,,6%,11%,$65,0,1,1
Married,In-person,Second,Law,Evening,Associate's degree,,High school diploma,Bachelor's degree,Artist,Writer,Yes,Yes,No,Yes,28,No,,,,,,,,,,,,,7%,12%,$70,0,1,1
Divorced,Hybrid,Third,History,Daytime,Bachelor's degree,,Master's degree,PhD,Historian,Researcher,No,No,Yes,No,33,Yes,,,,,,,,,,,,,8%,13%,$75,0,1,1
Single,Online,First,Mathematics,Evening,Master's degree,,PhD,Bachelor's degree,Mathematician,Statistician,No,No,Yes,No,26,No,,,,,,,,,,,,,9%,14%,$80,0,1,1
Married,In-person,Second,Physics,Daytime,Bachelor's degree,,High school diploma,Bachelor's degree,Astronomer,Engineer,,,,,,,,,,,,,,,,,,,,,,0,1,1
Single,Online,1,Computer Science,Daytime,Bachelor's degree,,Master's degree,PhD,Engineer,Doctor,No,No,Yes,No,20,No,,,,,,,,,,,,,5%,2%,2.5%,0,1,1
Married,In-person,2,Business Administration,Evening,High School diploma,,Bachelor's degree,Bachelor's degree,Teacher,Lawyer,Yes,Yes,No,Yes,25,Yes,,,,,,,,,,,,,4%,3%,3%,0,1,1
Divorced,Hybrid,3,Psychology,Daytime,Associate's degree,,High School diploma,High School diploma,Nurse,Police officer,No,No,Yes,No,22,No,,,,,,,,,,,,,3%,4%,3.5%,0,1,1
Single,Online,1,Nursing,Evening,Master's degree,,PhD,Master's degree,Scientist,Engineer,Yes,Yes,No,Yes,24,Yes,,,,,,,,,,,,,2%,5%,4%,0,1,1
Married,In-person,2,Economics,Daytime,PhD,,Bachelor's degree,Master's degree,Artist,Architect,No,No,Yes,No,28,No,,,,,,,,,,,,,1%,6%,4.5%,0,1,1
Divorced,Hybrid,3,Education,Evening,Bachelor's degree,,High School diploma,Associate's degree,Librarian,Accountant,Yes,Yes,No,Yes,26,Yes,,,,,,,,,,,,,2%,4%,3.5%,0,1,1
Single,Online,1,Sociology,Daytime,High School diploma,,Bachelor's degree,Bachelor's degree,Psychologist,Social worker,No,No,Yes,No,23,No,,,,,,,,,,,,,3%,3%,3%,0,1,1
Married,In-person,2,History,Evening,Associate's degree,,High School diploma,High School diploma,Chef,Pilot,Yes,Yes,No,Yes,27,Yes,,,,,,,,,,,,,1%,5%,4%,0,1,1
Divorced,Hybrid,3,Linguistics,Daytime,Bachelor's degree,,Master's degree,PhD,Writer,Professor,No,No,Yes,No,29,No,,,,,,,,,,,,,2%,4%,3.5%,0,1,1
Single,Online,1,Mathematics,Evening,PhD,,Bachelor's degree,Master's degree,Biologist,Physicist,Yes,Yes,No,Yes,26,Yes,,,,,,,,,,,,,1%,6%,4.5%,0,1,1
Married,In-person,2,Chemistry,Daytime,Master's degree,,High School diploma,Associate's degree,Musician,Dancer,No,No,Yes,No,30,No,,,,,,,,,,,,,1%,5%,4%,0,1,1
Divorced,Hybrid,3,Physics,Evening,Bachelor's degree,,PhD,Master's degree,Astronomer,Geologist,Yes,Yes,No,Yes,28,Yes,,,,,,,,,,,,,2%,4%,3.5%,0,1,1
Single,Online,1,Environmental Science,Daytime,High School diploma,,Bachelor's degree,Bachelor's degree,Environmentalist,Farmer,No,No,Yes,No,25,No,,,,,,,,,,,,,3%,3%,3%,0,1,1
Married,In-person,2,Art History,Evening,Associate's degree,,High School diploma,High School diploma,Fashion designer,Chef,,,,,,,,,,,,,,,,,,,,,,0,1,1
Single,Online,1,Computer Science,Daytime,Bachelor's degree,,Master's degree,PhD,Engineer,Doctor,No,No,Yes,No,20,No,,,,,,,,,,,,,5%,2%,3%,0,1,1
Married,In-person,2,Business Administration,Evening,High school diploma,,Bachelor's degree,Bachelor's degree,Teacher,Lawyer,Yes,Yes,No,Yes,25,Yes,,,,,,,,,,,,,6%,3%,2%,0,1,1
Divorced,Hybrid,3,Psychology,Daytime,Associate's degree,,High school diploma,High school diploma,Nurse,Police officer,No,No,Yes,No,30,No,,,,,,,,,,,,,7%,4%,1%,0,1,1
Single,Online,1,Nursing,Evening,Master's degree,,PhD,Master's degree,Scientist,Engineer,Yes,Yes,No,Yes,22,Yes,,,,,,,,,,,,,8%,5%,4%,0,1,1
Married,In-person,2,Economics,Daytime,PhD,,Bachelor's degree,Bachelor's degree,Accountant,Business owner,No,No,Yes,No,28,No,,,,,,,,,,,,,9%,6%,5%,0,1,1
Divorced,Hybrid,3,Sociology,Evening,Bachelor's degree,,High school diploma,High school diploma,Secretary,Carpenter,Yes,Yes,No,Yes,32,Yes,,,,,,,,,,,,,10%,7%,6%,0,1,1
Single,Online,1,Education,Daytime,High school diploma,,Associate's degree,Associate's degree,Librarian,Chef,No,No,Yes,No,24,No,,,,,,,,,,,,,11%,8%,7%,0,1,1
Married,In-person,2,History,Evening,Bachelor's degree,,Master's degree,PhD,Professor,Researcher,Yes,Yes,No,Yes,26,Yes,,,,,,,,,,,,,12%,9%,8%,0,1,1
Divorced,Hybrid,3,Linguistics,Daytime,High school diploma,,Bachelor's degree,Bachelor's degree,Artist,Musician,No,No,Yes,No,29,No,,,,,,,,,,,,,13%,10%,9%,0,1,1
Single,Online,1,Mathematics,Evening,Associate's degree,,High school diploma,High school diploma,Waitress,Mechanic,Yes,Yes,No,Yes,21,Yes,,,,,,,,,,,,,14%,11%,10%,0,1,1
