Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Tuition fees up to date,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Gender,Debtor,Probability
Single,Online,1,Computer Science,Daytime,Bachelor's degree,,Master's degree,PhD,Engineer,Doctor,No,No,Yes,No,20,No,,,,,,,,,,,,,5%,2%,50000.,1,0,0
Married,In-person,2,Business Administration,Evening,High School diploma,,Bachelor's degree,Bachelor's degree,Teacher,Accountant,Yes,Yes,No,Yes,25,Yes,,,,,,,,,,,,,4%,3%,60000.,1,0,0
Divorced,Hybrid,3,Psychology,Daytime,Associate's degree,,High School diploma,High School diploma,Nurse,Police officer,No,No,Yes,No,22,No,,,,,,,,,,,,,3%,4%,70000.,1,0,0
Single,Online,1,Nursing,Evening,Master's degree,,PhD,Master's degree,Scientist,Engineer,Yes,Yes,No,Yes,28,Yes,,,,,,,,,,,,,2%,5%,80000.,1,0,0
Married,In-person,2,Economics,Daytime,PhD,,Associate's degree,Bachelor's degree,Lawyer,Businessman,No,No,Yes,No,30,No,,,,,,,,,,,,,1%,6%,90000.,1,0,0
Divorced,Hybrid,3,Education,Evening,Bachelor's degree,,High School diploma,High School diploma,Teacher,Police officer,Yes,Yes,No,Yes,26,Yes,,,,,,,,,,,,,2%,7%,100000.,1,0,0
Single,Online,1,Sociology,Daytime,High School diploma,,Bachelor's degree,Master's degree,Nurse,Engineer,No,No,Yes,No,24,No,,,,,,,,,,,,,3%,8%,110000.,1,0,0
Married,In-person,2,History,Evening,Associate's degree,,High School diploma,High School diploma,Nurse,Police officer,Yes,Yes,No,Yes,27,Yes,,,,,,,,,,,,,4%,9%,120000.,1,0,0
Divorced,Hybrid,3,Linguistics,Daytime,Bachelor's degree,,Master's degree,PhD,Scientist,Engineer,No,No,Yes,No,29,No,,,,,,,,,,,,,5%,10%,130000.,1,0,0
Single,Online,1,Mathematics,Evening,PhD,,Bachelor's degree,Master's degree,Lawyer,Businessman,Yes,Yes,No,Yes,32,Yes,,,,,,,,,,,,,6%,11%,140000.,1,0,0
Married,In-person,2,Chemistry,Daytime,High School diploma,,Master's degree,PhD,Scientist,Engineer,No,No,Yes,No,31,No,,,,,,,,,,,,,7%,12%,150000.,1,0,0
Divorced,Hybrid,3,Physics,Evening,Associate's degree,,High School diploma,High School diploma,Nurse,Police officer,Yes,Yes,No,Yes,33,Yes,,,,,,,,,,,,,8%,13%,160000.,1,0,0
Single,Online,1,Art,Daytime,Bachelor's degree,,PhD,Master's degree,Lawyer,Businessman,No,No,Yes,No,29,No,,,,,,,,,,,,,9%,14%,170000.,1,0,0
Married,In-person,2,Geography,Evening,Master's degree,,Bachelor's degree,Bachelor's degree,Teacher,Accountant,Yes,Yes,,,,,,,,,,,,,,,,,,,,1,0,0
Single,Online,1,Computer Science,Daytime,Bachelor's degree,,Master's degree,PhD,Engineer,Doctor,No,None,Yes,No,20,No,,,,,,,,,,,,,5%,2%,3%,1,0,0
Married,In-person,2,Business Administration,Evening,High School diploma,,Bachelor's degree,Bachelor's degree,Teacher,Accountant,Yes,Dyslexia,No,Yes,25,Yes,,,,,,,,,,,,,7%,3%,2%,1,0,0
Divorced,Hybrid,3,Psychology,Daytime,Associate's degree,,High School diploma,High School diploma,Nurse,Police officer,No,ADHD,Yes,No,22,No,,,,,,,,,,,,,6%,2.5%,2.5%,1,0,0
Single,Online,1,Nursing,Evening,Master's degree,,PhD,Master's degree,Lawyer,Engineer,Yes,None,Yes,Yes,24,Yes,,,,,,,,,,,,,8%,3%,2.5%,1,0,0
Married,In-person,2,Economics,Daytime,PhD,,Bachelor's degree,Master's degree,Artist,Professor,No,Dyslexia,No,No,28,No,,,,,,,,,,,,,6%,2%,3%,1,0,0
Divorced,Hybrid,3,Marketing,Evening,Bachelor's degree,,High School diploma,High School diploma,Chef,Pilot,Yes,ADHD,Yes,Yes,26,Yes,,,,,,,,,,,,,7%,2.5%,2.5%,1,0,0
Single,Online,1,Sociology,Daytime,High School diploma,,Associate's degree,Associate's degree,Social worker,Firefighter,No,None,Yes,No,23,No,,,,,,,,,,,,,5%,2%,3%,1,0,0
Married,In-person,2,History,Evening,Bachelor's degree,,Master's degree,PhD,Librarian,Scientist,Yes,Dyslexia,No,Yes,27,Yes,,,,,,,,,,,,,6%,2%,3%,1,0,0
Divorced,Hybrid,3,Linguistics,Daytime,Associate's degree,,High School diploma,High School diploma,Secretary,Mechanic,No,ADHD,Yes,No,21,No,,,,,,,,,,,,,7%,2.5%,2.5%,1,0,0
Single,Online,1,Anthropology,Evening,Master's degree,,PhD,Master's degree,Psychologist,Architect,Yes,None,Yes,Yes,29,Yes,,,,,,,,,,,,,8%,3%,2.5%,1,0,0
Married,In-person,2,Environmental Science,Daytime,PhD,,Bachelor's degree,Master's degree,Biologist,Geologist,No,Dyslexia,No,No,30,No,,,,,,,,,,,,,6%,2%,3%,1,0,0
Divorced,Hybrid,3,Political Science,Evening,Bachelor's degree,,High School diploma,High School diploma,Politician,Lawyer,Yes,ADHD,Yes,Yes,31,Yes,,,,,,,,,,,,,7%,2.5%,2.5%,1,0,0
Single,Online,1,Mathematics,Daytime,High School diploma,,Associate's degree,Associate's degree,Mathematician,Programmer,No,None,Yes,No,26,No,,,,,,,,,,,,,5%,2%,3%,1,0,0
Married,In-person,2,Literature,Evening,Bachelor's degree,,Master's degree,PhD,,,,,,,,,,,,,,,,,,,,,,,,1,0,0
