Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Tuition fees up to date,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Gender,Debtor,Probability
Single,Online,1,Computer Science,Daytime,Bachelor's degree,,Master's degree,PhD,Engineer,Doctor,No,No,Yes,No,20,No,,,,,,,,,,,,,5%,2%,$20,0,1,0
Married,In-person,2,Business Administration,Evening,High school diploma,,Bachelor's degree,Bachelor's degree,Teacher,Accountant,Yes,Yes,No,Yes,25,Yes,,,,,,,,,,,,,4%,3%,$25,0,1,0
Divorced,Hybrid,3,Psychology,Daytime,Associate's degree,,High school diploma,High school diploma,Nurse,Police officer,No,No,Yes,No,22,No,,,,,,,,,,,,,3%,4%,$30,0,1,0
Single,Online,1,Computer Science,Daytime,Bachelor's degree,American,Master's degree,PhD,Engineer,Doctor,No,No,Yes,No,22,No,,,,,,,,,,,,,5%,2%,$20,0,1,0
Married,In-person,2,Business Administration,Evening,High School diploma,Chinese,Bachelor's degree,Bachelor's degree,Teacher,Accountant,No,Yes,No,Yes,25,Yes,,,,,,,,,,,,,4%,3%,$25,0,1,0
Divorced,Hybrid,3,Psychology,Daytime,Associate's degree,Brazilian,High School diploma,High School diploma,Nurse,Police officer,Yes,No,Yes,No,30,No,,,,,,,,,,,,,6%,2.5%,$22,0,1,0
Single,Online,1,Nursing,Daytime,Master's degree,Canadian,PhD,Master's degree,Scientist,Engineer,No,Yes,Yes,Yes,28,Yes,,,,,,,,,,,,,3%,2.2%,$30,0,1,0
Married,In-person,2,Economics,Evening,Bachelor's degree,French,High School diploma,Bachelor's degree,Chef,Lawyer,No,No,Yes,No,24,No,,,,,,,,,,,,,4.5%,2.8%,$28,0,1,0
Divorced,Hybrid,3,Education,Evening,High School diploma,German,Associate's degree,High School diploma,Librarian,Firefighter,Yes,Yes,No,Yes,26,Yes,,,,,,,,,,,,,5%,3.2%,$26,0,1,0
Single,Online,1,Sociology,Daytime,PhD,Indian,Master's degree,PhD,Psychologist,Professor,No,No,Yes,No,23,No,,,,,,,,,,,,,6%,2.7%,$24,0,1,0
