age,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,absences,G1,G2,sex,health,Probability
17,4,3,2,2,0,yes,no,yes,yes,yes,yes,yes,no,4,3,3,1,2,4,15,14,1,0,0
16,2,2,1,1,0,no,yes,no,no,yes,yes,yes,no,5,2,2,1,1,2,12,13,1,0,0
15,3,3,1,3,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,10,14,15,1,0,0
18,4,4,2,2,0,no,no,yes,yes,yes,yes,yes,no,4,4,4,1,1,0,18,18,1,0,0
16,3,3,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,5,2,4,6,16,16,1,0,0
17,1,1,1,2,0,no,no,no,yes,yes,yes,yes,no,5,3,3,1,1,4,11,11,1,0,0
15,2,2,1,2,0,no,no,no,yes,yes,yes,yes,no,4,3,2,1,1,2,13,13,1,0,0
18,4,4,2,2,0,no,no,yes,yes,yes,yes,yes,no,4,3,3,1,1,0,18,18,1,0,0
16,3,3,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,5,2,4,6,16,16,1,0,0
17,1,1,1,2,0,no,no,no,yes,yes,yes,yes,no,5,3,3,1,1,4,11,11,1,0,0
15,2,2,1,2,0,no,no,no,yes,yes,yes,yes,no,4,3,2,1,1,2,13,13,1,0,0
18,4,4,2,2,0,no,no,yes,yes,yes,yes,yes,no,4,3,3,1,1,0,18,18,1,0,0
16,3,3,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,5,2,4,6,16,16,1,0,0
17,1,1,1,2,0,no,no,no,yes,yes,yes,yes,no,5,3,3,1,1,4,11,11,1,0,0
15,2,2,1,2,0,no,no,no,yes,yes,yes,yes,no,4,3,2,1,1,2,13,13,1,0,0
18,4,4,2,2,0,no,no,yes,yes,yes,yes,yes,no,4,3,3,1,1,0,18,18,1,0,0
16,3,3,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,5,2,4,6,16,16,1,0,0
17,1,1,1,2,0,no,no,no,yes,yes,yes,yes,no,5,3,3,1,1,4,11,11,1,0,0
15,2,2,1,2,0,no,no,no,yes,yes,yes,yes,no,4,3,2,1,1,2,13,13,1,0,0
18,4,4,2,2,0,no,no,yes,yes,yes,yes,yes,no,4,3,3,1,1,0,18,18,1,0,0
16,3,3,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,5,2,4,6,16,16,1,0,0
17,1,1,1,2,0,no,no,no,yes,yes,yes,yes,no,5,3,3,1,1,4,11,11,1,0,0
15,2,2,1,2,0,no,no,no,yes,yes,yes,yes,no,4,3,2,1,1,2,13,13,1,0,0
