sex,age,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,Probability
1,15,2,3,1,2,0,yes,no,yes,yes,yes,yes,no,no,4,4,4,1,1,0,0,7,8,0
1,19,4,2,2,2,0,no,yes,no,yes,yes,yes,yes,yes,5,4,4,1,1,0,9,11,10,0
1,16,4,1,1,1,0,no,no,no,no,yes,yes,yes,no,4,1,2,2,1,0,0,10,11,0
1,15,2,2,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,0,0,8,8,0
1,22,3,1,1,1,3,no,no,no,no,no,no,yes,yes,5,4,5,5,5,0,16,6,8,0
1,15,4,0,2,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,0,0,12,11,0
1,16,2,1,2,2,0,no,no,no,yes,yes,yes,yes,no,5,2,1,1,1,0,0,8,7,0
1,16,3,3,3,1,0,no,yes,yes,yes,yes,yes,yes,no,3,3,4,3,5,0,8,9,9,0
1,15,3,3,2,1,0,no,yes,no,yes,no,yes,yes,no,4,3,3,2,4,0,11,12,10,0
1,18,4,3,1,2,0,no,yes,yes,no,no,yes,yes,no,4,3,2,1,1,0,2,8,8,0
1,16,4,2,1,1,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,3,4,0,8,10,9,0
1,16,2,2,2,2,0,no,no,no,yes,no,yes,yes,no,4,4,2,1,1,0,6,12,10,0
1,17,2,1,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,0,0,9,9,0
1,18,4,3,2,1,0,no,no,yes,yes,yes,yes,yes,no,4,2,3,1,2,0,8,10,11,0
1,16,1,1,2,2,0,no,yes,no,yes,yes,yes,no,yes,5,4,5,4,5,0,0,7,0,0
1,17,2,2,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4,5,2,1,1,0,4,11,11,0
1,16,2,1,4,1,0,no,no,no,no,yes,yes,no,no,3,2,1,1,1,0,4,9,9,0
1,17,1,1,2,1,0,no,yes,no,yes,no,yes,yes,yes,4,5,5,1,3,0,0,10,9,0
1,16,3,4,3,1,1,no,yes,no,yes,no,yes,yes,no,3,4,5,2,4,0,4,9,9,0
1,17,3,3,2,2,1,no,yes,no,no,yes,yes,yes,no,4,5,4,2,3,0,4,8,9,0
1,18,4,4,1,3,0,no,no,no,yes,yes,yes,yes,no,4,3,3,2,2,0,3,9,12,0
1,18,1,2,2,1,0,no,yes,no,no,no,yes,no,no,4,1,4,5,5,0,8,10,11,0
1,16,1,2,1,1,0,no,yes,yes,yes,yes,yes,yes,yes,3,3,3,1,2,0,2,11,12,0
1,17,1,1,3,2,0,no,no,no,no,yes,yes,yes,yes,5,1,3,3,3,0,0,10,10,0
1,18,2,2,1,1,1,no,yes,no,yes,no,no,yes,yes,4,4,3,2,2,0,26,7,8,0
1,17,3,2,1,1,1,no,no,no,no,yes,yes,yes,no,4,4,4,3,4,0,19,11,9,0
1,15,4,3,2,4,0,yes,yes,no,no,yes,yes,yes,no,2,2,2,1,1,0,0,7,9,0
1,18,1,3,1,1,1,no,no,no,no,yes,no,yes,yes,4,3,3,2,3,0,7,8,7,0
1,18,4,3,2,1,0,no,no,no,yes,yes,yes,yes,no,4,2,3,1,2,0,0,10,10,0
1,21,1,1,1,1,3,no,no,no,no,no,yes,no,no,5,5,3,3,3,0,3,10,8,0
1,16,2,2,4,3,0,no,no,no,no,yes,yes,no,no,5,1,3,2,2,0,0,10,9,0
1,16,2,2,2,2,1,no,no,yes,yes,no,yes,yes,no,4,4,2,1,1,0,12,11,10,0
1,19,1,1,3,2,3,no,no,no,no,yes,yes,yes,no,5,4,4,3,3,0,8,8,7,0
1,15,4,2,1,4,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,0,0,11,9,0
1,15,4,2,1,4,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,0,0,10,10,0
1,16,4,3,1,2,0,no,yes,yes,yes,yes,yes,yes,no,3,4,3,2,3,0,10,9,8,0
1,18,4,4,2,1,0,no,no,yes,yes,yes,yes,yes,no,3,2,4,1,4,0,22,9,9,0
1,17,2,1,3,1,0,no,no,no,yes,yes,no,no,yes,5,5,5,5,5,0,8,8,10,0
1,16,4,4,1,2,0,no,yes,no,no,yes,yes,no,no,5,3,2,1,3,0,5,10,11,0
1,17,3,3,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,1,4,5,5,0,8,7,10,0
1,15,4,3,2,2,0,no,yes,yes,no,yes,yes,yes,no,5,4,3,1,2,0,2,10,10,0
1,16,1,3,1,1,1,no,no,no,no,yes,no,yes,no,5,3,3,1,4,0,2,9,8,0
1,19,3,2,2,1,3,no,no,no,yes,yes,yes,no,no,3,2,1,1,1,0,4,6,11,0
1,15,2,2,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,0,0,9,10,0
1,17,1,2,1,1,0,no,yes,no,yes,yes,yes,yes,no,5,5,5,5,5,0,4,10,11,0
1,16,2,1,2,1,0,no,no,no,yes,no,yes,no,no,3,3,2,1,3,0,0,8,9,0
1,18,1,3,2,2,0,no,yes,yes,no,yes,yes,no,no,3,3,4,2,4,0,0,8,10,0
1,16,4,2,1,1,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,3,4,0,10,10,8,0
1,15,4,4,4,4,0,no,yes,no,yes,yes,yes,yes,yes,1,3,5,3,5,0,8,12,10,0
1,17,1,2,1,1,1,no,yes,no,yes,yes,no,yes,yes,5,3,5,5,5,0,12,6,7,0
1,16,2,2,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,0,0,12,12,0
1,17,3,2,2,1,3,no,yes,no,yes,no,no,no,no,4,5,2,1,1,0,10,8,7,0
1,17,1,2,1,2,0,no,no,no,no,yes,yes,no,no,3,1,3,1,5,0,6,9,9,0
1,17,4,4,1,2,0,yes,yes,no,yes,yes,yes,yes,yes,4,5,5,1,3,0,14,11,9,0
1,16,4,3,1,1,0,no,no,no,yes,no,yes,yes,no,5,4,5,1,1,0,0,6,0,0
1,18,2,2,1,2,0,no,no,no,no,yes,no,yes,no,5,5,4,3,5,0,16,8,7,0
1,15,4,1,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,4,1,2,0,7,7,9,0
1,15,4,3,2,4,0,yes,yes,no,no,yes,yes,yes,no,2,2,2,1,1,0,6,9,11,0
1,18,2,1,4,2,0,yes,yes,yes,yes,yes,yes,yes,yes,4,3,2,4,5,0,14,10,8,0
1,18,4,4,1,2,1,no,yes,no,yes,yes,yes,yes,no,4,3,3,2,2,0,0,10,10,0
1,17,3,2,2,2,2,yes,yes,no,no,yes,yes,yes,yes,4,4,4,1,4,0,4,7,6,0
1,16,3,2,2,3,0,no,no,no,yes,yes,yes,yes,yes,5,3,3,1,3,0,10,11,9,0
1,18,3,3,1,2,2,no,yes,no,yes,yes,no,yes,no,4,4,5,1,3,0,9,4,8,0
1,18,4,3,1,2,0,no,yes,no,no,no,yes,yes,no,4,3,2,1,1,0,2,10,10,0
1,15,3,2,2,2,2,yes,yes,no,no,yes,yes,yes,yes,4,4,4,1,4,0,6,5,9,0
1,16,2,2,3,1,0,no,no,no,no,no,yes,no,no,4,2,2,1,2,0,4,12,10,0
1,16,3,3,3,2,1,yes,yes,no,no,no,yes,yes,no,5,3,3,1,3,0,4,9,11,0
1,18,1,3,2,2,0,no,yes,yes,no,yes,yes,no,no,3,3,4,2,4,0,4,10,10,0
1,16,4,3,1,2,0,no,yes,yes,yes,yes,yes,yes,no,3,4,3,2,3,0,4,11,10,0
1,17,2,3,2,2,0,no,no,no,yes,yes,yes,yes,no,4,4,3,1,1,0,2,11,11,0
1,18,1,3,1,1,0,no,no,no,no,yes,no,yes,yes,4,3,3,2,3,0,0,9,10,0
1,16,2,2,2,1,0,no,yes,no,yes,yes,yes,yes,no,2,3,3,2,2,0,4,12,11,0
1,17,4,3,2,2,0,no,yes,yes,yes,no,yes,yes,yes,4,5,5,1,3,0,4,13,11,0
1,18,4,2,2,1,1,no,no,yes,no,yes,yes,no,no,5,4,3,4,3,0,0,7,7,0
1,16,2,2,2,1,2,no,yes,no,yes,yes,yes,yes,no,2,3,3,2,2,0,8,9,9,0
1,22,3,1,1,1,3,no,no,no,no,no,no,yes,yes,5,4,5,5,5,0,12,7,8,0
1,18,2,2,1,2,1,no,no,no,no,yes,no,yes,no,5,5,4,3,5,0,0,7,7,0
1,17,4,3,1,2,0,no,yes,no,yes,yes,yes,yes,yes,5,2,3,1,1,0,4,10,10,0
1,16,3,4,3,1,2,no,yes,no,yes,no,yes,yes,no,3,4,5,2,4,0,0,6,5,0
1,18,4,2,2,1,1,no,no,yes,no,yes,yes,no,no,5,4,3,4,3,0,14,6,5,0
1,16,3,3,3,2,0,yes,yes,no,no,no,yes,yes,no,5,3,3,1,3,0,6,7,10,0
1,18,1,2,3,1,0,no,yes,no,yes,yes,no,yes,yes,4,3,3,2,3,0,3,9,10,0
1,19,1,1,3,2,1,no,no,no,no,yes,yes,yes,no,5,4,4,3,3,0,8,10,9,0
