age,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,absences,G1,G2,sex,health,Probability
17,3,2,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,4,12,13,0,0,1
16,4,4,2,2,0,yes,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,2,15,14,0,0,1
15,2,1,1,2,0,no,no,no,yes,yes,yes,yes,no,4,3,2,1,1,10,10,9,0,0,1
18,3,3,1,3,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,0,14,14,0,0,1
17,4,4,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,1,6,16,16,0,0,1
16,2,2,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,3,1,1,4,12,12,0,0,1
15,4,4,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,2,1,1,2,15,15,0,0,1
18,3,3,2,3,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,0,14,14,0,0,1
17,4,4,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,1,6,16,16,0,0,1
16,2,2,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,3,1,1,4,12,12,0,0,1
15,4,4,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,2,1,1,2,15,15,0,0,1
18,3,3,2,3,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,0,14,14,0,0,1
17,4,4,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,1,6,16,16,0,0,1
16,2,2,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,3,1,1,4,12,12,0,0,1
15,4,4,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,2,1,1,2,15,15,0,0,1
18,3,3,2,3,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,0,14,14,0,0,1
17,4,4,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,1,6,16,16,0,0,1
16,2,2,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,3,1,1,4,12,12,0,0,1
