age,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,absences,G1,G2,sex,health,Probability
17,4,3,1,2,0,yes,no,yes,yes,yes,yes,yes,no,4,3,2,1,1,4,15,14,0,1,1
16,2,2,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,2,12,13,0,1,1
15,3,3,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,2,1,1,10,14,15,0,1,1
18,4,4,1,3,0,no,no,yes,yes,yes,yes,yes,no,4,2,4,1,1,0,16,16,0,1,1
17,1,1,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,6,11,11,0,1,1
16,2,2,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,4,12,12,0,1,1
15,4,4,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,2,1,1,2,15,15,0,1,1
18,3,3,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,8,13,14,0,1,1
17,2,2,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,4,11,11,0,1,1
16,3,3,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,6,14,14,0,1,1
15,1,1,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,2,10,10,0,1,1
18,2,2,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,4,12,12,0,1,1
17,3,3,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,6,14,14,0,1,1
16,4,4,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,2,1,1,2,15,15,0,1,1
15,2,2,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,4,12,12,0,1,1
18,3,3,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,8,13,14,0,1,1
17,1,1,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,6,11,11,0,1,1
16,2,2,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,4,11,11,0,1,1
15,3,3,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,6,14,14,0,1,1
