age,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,absences,G1,G2,sex,health,Probability
16,3,2,1,2,0,yes,no,yes,yes,yes,yes,yes,no,4,3,2,1,1,4,12,14,1,0,1
15,4,4,2,1,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,2,15,14,1,0,1
17,2,1,1,3,0,no,yes,no,no,yes,yes,yes,no,4,2,2,1,1,10,10,11,1,0,1
16,3,3,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,0,14,14,1,0,1
15,4,4,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,3,1,1,4,16,16,1,0,1
18,2,2,2,2,0,no,no,no,yes,yes,yes,yes,no,4,3,3,1,1,6,12,12,1,0,1
17,3,3,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,2,14,14,1,0,1
16,4,4,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,0,15,15,1,0,1
15,2,2,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,6,12,13,1,0,1
17,3,3,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,4,14,14,1,0,1
16,4,4,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,2,16,16,1,0,1
15,2,2,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,8,11,11,1,0,1
18,3,3,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,0,15,15,1,0,1
16,4,4,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,2,16,16,1,0,1
15,2,2,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,6,12,12,1,0,1
17,3,3,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,4,14,14,1,0,1
16,4,4,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,2,16,16,1,0,1
15,2,2,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,8,11,11,1,0,1
18,3,3,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,0,15,15,1,0,1
16,4,4,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,2,16,16,1,0,1
15,2,2,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,6,12,12,1,0,1
17,3,3,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,4,14,14,1,0,1
16,4,4,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,2,16,16,1,0,1
15,2,2,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,8,11,11,1,0,1
18,3,3,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,0,15,15,1,0,1
16,4,4,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,2,16,16,1,0,1
15,2,2,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,6,12,12,1,0,1
17,3,3,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,4,14,14,1,0,1
16,3,2,1,2,0,yes,no,yes,yes,yes,yes,yes,no,4,3,2,1,1,4,14,15,1,0,1
17,4,4,2,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,2,16,16,1,0,1
