gender,age,birthplace,M17,M18,M19,M21,M22,M23,M24,M26,M27,M28,M29,M30,M32,M33,M34,M35,M36,M38,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M51,M53,M55,M56,M57,Probability
1,0,1,6.5,7.1,9.0,7.1,7.5,7.0,9.0,6.5,7.1,7.0,9.0,6.0,9.5,7.0,8.0,9.0,7.5,7.5,9.5,5.0,6.5,6.5,6.5,6.5,6.5,7.5,9.0,8.0,8.0,9.0,8.0,8.5,9.5,1
1,0,1,8.0,8.5,6.0,8.0,6.5,8.5,9.5,8.0,9.5,6.5,8.5,8.0,7.0,9.0,9.5,7.5,8.0,8.0,9.0,6.0,7.0,7.0,6.0,5.5,9.0,7.5,8.5,7.5,8.5,6.5,9.0,7.5,9.0,1
1,0,1,7.5,8.5,6.0,5.0,8.0,7.5,8.0,0.0,7.06,6.5,6.5,5.0,5.5,5.5,7.0,8.0,8.0,7.0,5.5,5.5,7.5,6.5,6.8,7.06,6.5,7.0,7.0,5.0,7.5,7.06,8.0,8.5,6.0,1
1,0,1,6.5,7.5,7.0,8.0,9.0,6.0,4.5,7.0,8.0,5.5,7.5,6.0,6.0,5.5,5.5,8.0,5.5,8.0,5.5,5.0,7.0,5.5,7.0,8.5,8.0,7.0,6.0,6.5,6.0,6.0,6.5,5.5,6.5,1
1,0,1,6.0,8.5,5.0,8.0,7.0,5.0,5.5,7.5,10.0,6.0,7.5,6.5,8.0,8.0,8.5,8.0,5.0,8.5,8.0,6.5,7.5,6.5,7.5,6.0,8.5,7.0,8.5,6.0,8.0,6.5,7.5,6.5,8.5,1
1,0,1,9.0,5.0,7.0,8.0,6.5,7.5,6.0,0.0,6.74,7.0,6.5,6.0,6.0,6.0,5.0,7.0,8.0,7.0,5.5,6.0,8.5,5.0,6.45,6.74,7.0,8.0,7.0,5.0,7.5,6.74,7.0,7.0,5.0,1
1,0,1,6.0,9.0,6.5,6.0,7.5,5.0,5.0,6.0,7.5,6.0,6.5,6.5,5.5,6.5,6.0,7.5,5.5,9.5,5.5,5.0,7.0,5.0,6.0,8.5,8.0,6.0,6.0,6.5,5.5,6.0,7.0,5.5,9.0,1
1,0,1,7.5,8.0,6.5,8.0,8.5,7.0,7.0,6.5,7.5,5.5,7.0,7.5,7.5,7.5,7.0,9.0,5.5,7.5,9.0,7.5,7.5,7.0,7.0,8.0,8.5,7.5,8.0,7.0,7.5,7.0,8.0,6.0,8.0,1
1,0,1,6.5,6.54,7.0,6.54,5.5,6.0,7.0,6.5,6.54,5.5,5.5,6.0,8.5,6.5,9.0,7.5,6.5,6.5,8.5,5.5,6.0,5.5,6.5,6.0,6.0,7.0,6.5,8.0,8.0,9.0,8.0,7.5,9.0,1
1,0,1,7.0,7.5,6.5,8.5,7.5,8.0,6.5,8.0,9.0,8.5,7.5,8.0,6.0,6.0,7.5,7.0,7.0,7.5,8.0,5.0,7.5,6.0,8.5,7.5,8.5,8.0,7.5,8.5,6.0,8.5,8.0,8.5,7.5,1
1,0,1,7.5,5.5,6.0,8.5,6.5,5.5,5.0,7.0,7.5,5.5,7.5,6.5,7.0,8.0,8.5,7.5,7.0,8.5,5.0,5.5,8.0,6.0,7.5,5.5,8.5,7.5,7.0,7.5,8.0,8.0,7.0,7.0,8.5,1
1,0,1,6.0,9.5,8.5,8.5,8.5,8.0,5.5,7.0,9.0,6.0,8.0,6.0,5.0,7.0,10.0,9.5,6.0,9.0,5.5,7.0,9.0,7.5,7.5,9.5,7.5,7.5,7.0,7.0,9.5,6.5,6.5,6.5,10.0,1
1,0,1,10.0,8.5,5.0,8.5,8.0,8.0,5.5,9.5,8.5,6.5,8.5,8.0,6.5,7.5,7.5,7.5,6.5,8.5,6.5,8.0,7.0,8.0,7.0,8.0,8.0,7.0,6.5,6.0,7.0,6.5,6.0,6.5,9.5,1
1,0,1,5.0,6.28,7.5,7.5,8.5,8.5,6.28,6.5,5.0,5.5,6.0,5.5,9.0,5.5,5.0,5.0,8.5,6.5,6.28,5.5,6.28,5.0,6.5,5.0,6.5,6.0,6.28,7.0,6.0,8.5,6.5,10.0,6.0,1
1,0,1,6.5,5.0,6.0,9.0,5.0,5.0,6.0,6.0,8.0,6.0,6.5,5.5,5.0,5.0,9.0,8.0,6.0,8.5,8.0,5.5,8.0,5.0,7.0,5.5,8.0,5.5,6.5,7.0,8.0,5.5,5.5,6.0,9.0,1
1,0,1,5.0,6.5,6.0,7.0,5.5,5.5,5.0,5.5,7.5,5.5,6.5,6.5,5.5,6.0,6.5,6.5,6.0,7.5,5.0,5.0,6.0,5.0,7.0,6.0,7.0,5.0,6.0,5.0,6.5,5.0,5.5,5.5,6.0,1
1,0,1,6.5,8.5,6.0,5.5,8.0,7.5,6.5,6.0,7.5,6.0,7.0,6.5,5.5,7.5,9.5,8.0,5.5,9.5,6.0,6.0,6.0,7.0,6.0,9.0,8.5,7.5,7.5,6.5,5.5,7.0,8.0,7.0,8.5,1
1,0,1,8.0,7.0,5.0,6.0,5.5,5.0,5.0,5.5,7.5,5.5,5.0,5.0,5.5,5.5,8.5,6.0,5.5,7.5,5.5,6.0,5.0,6.5,6.0,8.5,6.0,5.0,5.5,5.0,6.0,5.5,5.0,6.0,8.5,1
1,0,1,7.5,8.0,6.0,5.5,5.5,6.5,5.0,6.5,6.0,5.0,6.0,7.0,5.0,6.5,8.5,5.5,6.5,9.0,5.0,5.5,6.0,5.0,7.0,5.0,7.0,6.5,5.0,6.5,6.5,5.0,6.5,6.0,8.5,1
1,0,1,9.0,8.5,6.5,6.5,7.5,7.5,8.0,0.0,6.86,7.0,6.0,5.0,5.5,5.5,7.0,6.0,7.5,7.0,6.5,6.0,8.0,6.5,7.15,6.86,7.0,7.5,6.5,5.5,7.0,6.86,7.5,8.0,6.5,1
1,0,1,9.5,8.5,7.0,6.0,7.5,7.5,5.0,0.0,6.64,7.5,7.0,5.0,6.5,6.5,5.0,6.5,8.0,7.0,5.0,6.0,5.5,6.5,6.25,6.64,7.0,7.5,5.5,5.0,8.0,6.64,6.0,7.0,6.0,1
1,0,1,7.0,9.5,6.0,8.0,7.5,7.0,5.5,6.0,8.0,6.0,6.5,5.0,5.0,5.5,6.5,8.5,6.5,8.0,6.0,6.5,6.5,5.5,5.0,9.5,8.5,7.0,7.5,7.5,8.5,7.0,6.5,6.0,9.0,1
1,0,1,7.5,7.5,5.0,5.5,7.0,8.0,5.0,7.0,9.0,6.0,6.0,7.0,7.5,6.5,9.5,6.5,7.5,8.5,6.0,5.0,7.0,5.5,7.5,5.0,7.5,7.5,7.5,6.5,6.5,6.5,6.5,60.0,8.0,1
1,0,1,8.5,8.5,6.5,8.5,7.0,7.0,5.0,6.5,9.0,5.5,7.0,6.5,6.5,8.0,8.5,7.0,7.0,8.0,6.0,5.0,7.0,5.5,8.0,6.0,8.0,7.5,7.5,8.0,7.5,5.5,8.5,6.0,8.5,1
1,0,1,9.0,9.5,7.0,7.5,8.0,8.0,6.0,0.0,7.55,8.5,7.5,5.0,7.0,7.0,7.5,7.0,7.0,7.0,7.0,6.5,7.5,7.5,7.9,7.55,8.0,7.5,7.5,5.5,8.0,7.55,8.5,8.5,6.0,1
1,0,1,6.0,9.0,6.0,7.5,8.0,5.5,8.0,6.5,8.0,8.0,8.0,5.5,7.0,7.5,8.5,8.5,7.5,7.5,7.5,6.5,8.0,7.0,7.5,7.5,8.5,7.5,6.5,8.0,8.5,8.5,8.0,8.5,6.0,1
1,0,1,7.0,7.0,5.0,6.0,9.5,6.5,8.5,8.5,9.0,5.5,6.5,7.5,6.0,7.0,8.0,5.5,8.0,8.0,7.5,6.0,5.5,5.0,7.5,6.5,8.5,7.5,8.5,7.0,6.0,7.0,8.5,6.0,7.0,1
1,0,1,5.5,6.5,7.0,5.5,6.5,6.48,6.48,5.5,5.5,6.48,7.5,5.0,6.48,6.0,8.0,5.5,7.0,5.0,7.0,6.5,5.5,5.5,6.5,7.5,7.5,5.5,5.0,8.0,7.0,6.48,5.5,7.5,6.48,1
1,0,1,9.0,8.0,7.0,6.0,7.0,8.0,5.0,0.0,6.99,7.5,6.5,5.5,6.5,6.5,7.5,6.0,8.5,7.0,6.5,6.0,7.0,5.0,7.0,6.99,7.0,7.5,7.0,5.5,8.0,6.99,7.5,8.0,5.5,1
1,0,1,8.5,9.0,7.0,8.0,10.0,8.0,7.5,9.0,10.0,8.0,6.0,8.5,8.5,7.5,9.5,9.0,7.5,10.0,9.0,9.5,8.5,9.5,6.5,10.0,8.0,9.0,8.0,8.0,7.5,8.0,9.0,8.0,9.5,1
1,0,1,7.0,8.5,6.0,7.5,8.5,7.0,6.0,8.0,8.5,7.5,8.0,7.0,6.5,8.0,8.0,7.0,6.0,6.5,7.5,6.5,7.5,6.5,7.5,6.5,9.0,7.5,6.5,8.0,6.0,8.5,7.5,8.0,7.0,1
1,0,1,8.5,5.0,6.5,5.5,5.0,6.5,5.0,0.0,6.1,5.0,6.0,5.0,5.5,5.5,5.5,5.0,8.0,7.0,5.0,5.5,5.0,5.5,5.4,6.1,5.5,8.0,6.0,5.0,7.0,6.1,6.0,7.0,5.0,1
