region,imd_band,age_band,studied_credits,gender,disability,Probability
Scotland,50-60%,0-35,30,0,1,1
Wales,50-60%,0-35,100,0,1,1
London Region,70-80%,0-35,120,0,1,1
Ireland,10-20,35-55,240,0,1,1
West Midlands Region,20-30%,0-35,60,0,1,1
East Midlands Region,0-10%,55<=,130,0,1,1
West Midlands Region,70-80%,35-55,45,0,1,1
South West Region,30-40%,35-55,60,0,1,1
Yorkshire Region,90-100%,0-35,60,0,1,1
South East Region,40-50%,0-35,160,0,1,1
Scotland,0-10%,0-35,60,0,1,1
Scotland,0-10%,0-35,30,0,1,1
Scotland,90-100%,35-55,75,0,1,1
Scotland,20-30%,0-35,30,0,1,1
West Midlands Region,0-10%,0-35,120,0,1,1
South Region,90-100%,0-35,120,0,1,1
South West Region,70-80%,0-35,60,0,1,1
Scotland,70-80%,0-35,70,0,1,1
Scotland,50-60%,35-55,60,0,1,1
West Midlands Region,10-20,0-35,60,0,1,1
South East Region,90-100%,35-55,60,0,1,1
North Western Region,90-100%,35-55,60,0,1,1
East Anglian Region,30-40%,0-35,60,0,1,1
South Region,90-100%,0-35,150,0,1,1
North Western Region,20-30%,0-35,60,0,1,1
South West Region,60-70%,0-35,60,0,1,1
North Western Region,20-30%,35-55,60,0,1,1
East Midlands Region,10-20,35-55,120,0,1,1
South Region,80-90%,0-35,280,0,1,1
London Region,40-50%,0-35,60,0,1,1
East Midlands Region,30-40%,0-35,120,0,1,1
Scotland,10-20,35-55,60,0,1,1
South Region,20-30%,0-35,60,0,1,1
Yorkshire Region,40-50%,35-55,60,0,1,1
Yorkshire Region,70-80%,35-55,60,0,1,1
North Western Region,90-100%,0-35,60,0,1,1
South Region,60-70%,0-35,120,0,1,1
Yorkshire Region,40-50%,35-55,120,0,1,1
South East Region,90-100%,0-35,60,0,1,1
West Midlands Region,0-10%,35-55,60,0,1,1
South East Region,0-10%,35-55,120,0,1,1
Scotland,40-50%,0-35,90,0,1,1
East Anglian Region,10-20,0-35,30,0,1,1
South Region,10-20,0-35,60,0,1,1
South East Region,80-90%,0-35,30,0,1,1
South East Region,10-20,0-35,80,0,1,1
East Anglian Region,60-70%,35-55,60,0,1,1
East Anglian Region,20-30%,0-35,240,0,1,1
East Anglian Region,20-30%,0-35,30,0,1,1
West Midlands Region,0-10%,0-35,60,0,1,1
South Region,50-60%,35-55,80,0,1,1
London Region,30-40%,0-35,120,0,1,1
South Region,0-10%,35-55,280,0,1,1
South West Region,60-70%,0-35,145,0,1,1
South East Region,20-30%,0-35,60,0,1,1
Yorkshire Region,60-70%,0-35,60,0,1,1
