region,imd_band,age_band,studied_credits,gender,disability,Probability
North,,,,0,1,1
,5,,,0,1,1
,,30-39,,0,1,1
,,,60,0,1,1
South,,,,0,1,1
,2,,,0,1,1
,,20-29,,0,1,1
,,,90,0,1,1
East,,,,0,1,1
,4,,,0,1,1
,,40-49,,0,1,1
,,,120,0,1,1
West,,,,0,1,1
,3,,,0,1,1
,,50-59,,0,1,1
,,,75,0,1,1
Midlands,,,,0,1,1
,1,,,0,1,1
,,18-19,,0,1,1
,,,30,0,1,1
North,,,,0,1,1
,5,,,0,1,1
,,30-39,,0,1,1
,,,60,0,1,1
South,,,,0,1,1
,2,,,0,1,1
,,20-29,,0,1,1
,,,90,0,1,1
East,,,,0,1,1
,4,,,0,1,1
,,40-49,,0,1,1
,,,120,0,1,1
West,,,,0,1,1
,3,,,0,1,1
,,50-59,,0,1,1
,,,75,0,1,1
Midlands,,,,0,1,1
,1,,,0,1,1
,,18-19,,0,1,1
,,,30,0,1,1
North,,,,0,1,1
,5,,,0,1,1
,,30-39,,0,1,1
,,,60,0,1,1
South,,,,0,1,1
,2,,,0,1,1
,,20-29,,0,1,1
,,,90,0,1,1
East,,,,0,1,1
,4,,,0,1,1
,,40-49,,0,1,1
,,,120,0,1,1
West,,,,0,1,1
,3,,,0,1,1
,,50-59,,0,1,1
,,,75,0,1,1
Midlands,,,,0,1,1
,1,,,0,1,1
,,18-19,,0,1,1
,,,30,0,1,1
North,,,,0,1,1
,5,,,0,1,1
,,30-39,,0,1,1
,,,60,0,1,1
South,,,,0,1,1
,2,,,0,1,1
,,20-29,,0,1,1
,,,90,0,1,1
East,,,,0,1,1
,4,,,0,1,1
,,40-49,,0,1,1
,,,120,0,1,1
West,,,,0,1,1
,3,,,0,1,1
,,50-59,,0,1,1
,,,75,0,1,1
Midlands,,,,0,1,1
,1,,,0,1,1
,,18-19,,0,1,1
,,,30,0,1,1
North,,,,0,1,1
,5,,,0,1,1
,,30-39,,0,1,1
,,,60,0,1,1
South,,,,0,1,1
,2,,,0,1,1
,,20-29,,0,1,1
,,,90,0,1,1
East,,,,0,1,1
,4,,,0,1,1
,,40-49,,0,1,1
,,,120,0,1,1
West,,,,0,1,1
,3,,,0,1,1
,,50-59,,0,1,1
,,,75,0,1,1
Midlands,,,,0,1,1
,1,,,0,1,1
,,18-19,,0,1,1
,,,30,0,1,1
North,,,,0,1,1
,5,,,0,1,1
,,30-35,,0,1,1
,,,60,0,1,1
South,,,,0,1,1
,2,,,0,1,1
,,20-25,,0,1,1
,,,90,0,1,1
East,,,,0,1,1
,4,,,0,1,1
,,25-30,,0,1,1
,,,120,0,1,1
West,,,,0,1,1
,3,,,0,1,1
,,35-40,,0,1,1
,,,75,0,1,1
Midlands,,,,0,1,1
,1,,,0,1,1
,,18-20,,0,1,1
,,,30,0,1,1
North,,,,0,1,1
,6,,,0,1,1
,,40-45,,0,1,1
,,,100,0,1,1
South,,,,0,1,1
