age,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,absences,G1,G2,sex,health,Probability
16,0,4,1,3,1,no,no,no,no,yes,yes,yes,yes,5,3,5,4,2,14,14,13,1,1,1
20,1,4,3,2,0,no,no,yes,no,yes,no,yes,no,4,3,4,4,4,2,13,18,1,1,1
20,3,4,1,2,1,no,yes,yes,no,yes,yes,no,yes,2,2,1,3,4,0,19,12,1,1,1
17,1,1,1,1,0,no,no,yes,yes,yes,yes,no,yes,5,4,2,1,1,0,15,14,1,1,1
16,0,0,3,4,1,yes,no,no,yes,yes,yes,yes,yes,2,3,1,5,4,16,15,12,1,1,1
20,1,4,1,2,2,yes,yes,yes,no,no,yes,yes,no,2,4,3,1,4,10,10,17,1,1,1
16,0,4,1,2,1,no,yes,yes,no,no,yes,no,yes,2,4,1,1,3,4,12,11,1,1,1
17,1,0,2,2,0,yes,no,no,no,yes,no,yes,no,4,5,3,2,3,14,17,11,1,1,1
16,0,1,3,4,2,no,no,no,yes,yes,no,yes,no,2,3,5,2,2,0,8,14,1,1,1
16,2,0,1,4,0,no,no,no,yes,no,yes,yes,no,4,1,3,2,1,0,10,11,1,1,1
20,3,2,3,1,2,no,yes,no,yes,yes,yes,yes,yes,2,3,2,3,2,2,17,11,1,1,1
18,0,4,1,2,0,no,yes,no,yes,no,no,no,yes,5,2,4,2,5,0,19,12,1,1,1
20,4,4,2,2,1,no,no,yes,yes,no,yes,yes,no,2,2,3,1,2,8,15,18,1,1,1
18,4,1,1,2,2,no,yes,no,no,yes,yes,no,no,3,2,2,4,3,0,16,13,1,1,1
15,2,2,1,1,1,no,no,yes,no,yes,yes,no,yes,4,1,3,5,3,3,14,15,1,1,1
18,2,4,1,4,1,yes,no,yes,yes,no,yes,no,yes,3,2,1,1,2,10,13,17,1,1,1
16,0,4,2,2,0,yes,yes,no,yes,yes,yes,yes,yes,4,5,3,4,3,16,19,11,1,1,1
15,2,2,1,3,2,no,yes,no,no,yes,no,yes,no,2,2,2,1,3,11,11,19,1,1,1
16,1,1,3,2,0,yes,yes,no,no,no,yes,no,no,3,2,5,1,2,16,9,11,1,1,1
17,2,1,3,3,1,no,no,no,no,yes,yes,yes,no,4,5,2,1,4,2,12,15,1,1,1
17,0,1,3,3,2,yes,no,yes,yes,yes,yes,no,yes,5,4,1,1,4,6,13,13,1,1,1
18,3,4,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,5,3,3,3,2,13,15,1,1,1
20,0,0,2,1,0,no,no,yes,yes,yes,no,yes,yes,5,1,2,3,4,10,12,12,1,1,1
15,0,2,3,2,2,yes,no,yes,yes,yes,no,yes,no,2,4,3,4,5,8,13,13,1,1,1
17,4,0,1,3,1,yes,no,yes,yes,yes,no,no,yes,5,2,3,2,4,16,16,13,1,1,1
18,2,4,2,1,0,no,no,no,no,yes,yes,yes,no,5,2,5,1,3,10,16,12,1,1,1
17,2,4,3,4,0,no,yes,yes,yes,yes,yes,yes,no,4,2,5,5,1,9,10,18,1,1,1
16,4,1,1,1,0,no,no,no,no,no,yes,yes,yes,5,2,5,2,1,0,9,19,1,1,1
16,1,2,1,3,0,no,yes,yes,yes,no,yes,yes,no,5,1,1,1,4,14,13,12,1,1,1
20,0,3,1,2,1,no,yes,yes,yes,yes,no,no,yes,5,2,5,2,1,10,10,13,1,1,1
17,1,2,2,3,1,no,yes,no,no,yes,yes,yes,yes,4,5,3,5,5,0,16,15,1,1,1
20,0,3,1,3,0,no,yes,yes,no,yes,yes,yes,no,5,3,2,4,5,6,11,11,1,1,1
18,0,1,1,4,1,no,no,no,yes,yes,no,no,no,4,4,5,4,1,0,11,12,1,1,1
16,2,2,3,2,1,no,yes,yes,no,yes,no,yes,no,2,2,3,5,2,3,12,15,1,1,1
20,0,4,3,1,1,yes,no,yes,yes,yes,no,no,yes,2,4,3,1,2,1,17,13,1,1,1
17,4,4,3,2,2,no,yes,yes,no,yes,yes,no,no,4,5,1,3,4,2,13,16,1,1,1
16,0,1,3,3,2,no,no,yes,yes,yes,yes,yes,no,3,1,1,2,2,14,8,13,1,1,1
16,2,1,1,3,2,no,no,yes,no,yes,yes,yes,no,3,2,3,1,5,2,16,17,1,1,1
16,4,2,3,2,0,no,no,yes,yes,yes,yes,yes,yes,2,1,2,2,3,10,12,19,1,1,1
17,1,4,2,2,1,no,yes,no,yes,no,no,no,no,2,2,4,1,3,9,10,13,1,1,1
20,0,4,1,1,1,no,yes,no,no,yes,no,yes,yes,2,2,1,1,1,9,18,11,1,1,1
16,3,2,3,2,2,no,no,no,yes,no,no,yes,no,5,5,3,1,4,16,16,18,1,1,1
18,3,4,1,2,0,no,yes,yes,no,yes,yes,yes,no,2,4,2,1,2,9,8,14,1,1,1
18,3,1,2,1,1,no,no,yes,yes,yes,no,no,no,3,3,3,2,5,2,18,16,1,1,1
18,2,0,2,2,0,yes,no,no,yes,yes,yes,yes,no,5,2,4,4,1,11,15,18,1,1,1
20,1,0,3,2,1,no,no,no,yes,no,yes,yes,no,4,2,1,4,1,10,12,11,1,1,1
16,4,4,1,1,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,2,2,2,16,15,1,1,1
15,3,0,2,2,0,no,no,no,yes,no,yes,yes,no,5,3,4,5,2,10,16,12,1,1,1
20,3,4,1,1,1,no,no,yes,no,yes,no,yes,no,2,2,3,5,5,4,13,12,1,1,1
