age,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,absences,G1,G2,sex,health,Probability
17,4,3,1,2,3,no,no,yes,yes,no,yes,yes,no,5,5,2,2,2,10,11,7,1,1,0
19,3,3,3,2,1,yes,no,yes,no,yes,yes,yes,yes,3,5,3,5,1,0,11,9,1,1,0
19,4,2,4,1,0,no,no,yes,yes,yes,yes,yes,yes,5,3,2,4,3,18,14,4,1,1,0
18,0,4,3,1,0,no,yes,yes,no,no,yes,no,yes,3,1,5,4,2,14,12,12,1,1,0
16,2,4,4,1,3,no,no,no,yes,yes,no,no,no,4,4,1,3,4,4,10,13,1,1,0
20,1,1,2,1,0,yes,yes,yes,no,yes,yes,no,no,1,4,4,4,1,2,9,7,1,1,0
21,2,4,2,4,0,no,no,yes,no,yes,no,yes,no,2,5,2,4,2,8,11,4,1,1,0
21,2,1,4,2,1,no,no,no,yes,yes,yes,yes,no,3,5,2,5,1,3,12,0,1,1,0
17,4,3,3,2,1,no,no,yes,yes,yes,no,yes,yes,2,3,3,3,1,14,11,13,1,1,0
18,0,3,2,3,2,no,yes,yes,no,no,yes,yes,yes,4,4,5,4,3,11,12,10,1,1,0
19,2,3,1,2,1,yes,no,no,yes,no,yes,yes,yes,3,4,2,1,4,22,7,7,1,1,0
16,2,2,4,1,2,no,no,no,no,no,yes,yes,yes,5,4,4,5,4,16,5,8,1,1,0
17,1,3,3,3,2,no,no,yes,no,yes,yes,yes,yes,4,5,2,2,5,6,8,5,1,1,0
16,4,4,1,1,2,no,yes,yes,yes,no,yes,yes,yes,1,1,5,4,1,3,11,7,1,1,0
16,2,1,4,1,0,no,no,yes,yes,yes,yes,no,yes,5,2,4,4,4,0,10,8,1,1,0
21,1,1,4,1,3,no,no,no,yes,no,yes,yes,no,1,4,5,4,2,16,10,7,1,1,0
16,4,1,4,2,2,no,no,no,yes,no,no,no,yes,3,5,2,3,1,6,11,11,1,1,0
18,2,3,3,4,2,no,no,no,no,no,yes,yes,no,2,3,4,2,2,10,9,0,1,1,0
16,1,1,4,3,2,yes,no,no,no,no,no,yes,yes,3,2,4,5,3,21,12,0,1,1,0
21,2,1,2,2,0,no,yes,yes,no,no,yes,yes,yes,5,4,3,3,3,10,4,11,1,1,0
17,0,4,4,2,2,yes,yes,yes,yes,yes,no,no,yes,5,3,3,5,1,12,11,10,1,1,0
21,2,4,2,2,2,no,no,no,no,yes,yes,no,no,1,4,3,2,4,30,13,8,1,1,0
18,2,4,1,1,3,no,yes,no,no,yes,no,yes,no,5,1,5,1,3,12,11,8,1,1,0
16,4,1,1,3,0,no,yes,no,yes,no,no,no,no,4,3,5,1,2,10,12,0,1,1,0
20,0,3,2,1,0,yes,yes,yes,no,yes,yes,no,no,5,4,3,5,5,14,13,7,1,1,0
21,2,1,4,2,2,yes,yes,no,no,yes,no,no,yes,4,4,5,3,2,6,13,9,1,1,0
18,1,4,4,4,2,no,no,no,yes,yes,no,no,no,1,5,4,1,1,6,6,12,1,1,0
19,4,1,3,2,0,no,no,yes,no,no,no,yes,yes,5,4,3,4,2,12,8,9,1,1,0
20,1,4,3,2,1,yes,yes,no,yes,yes,yes,yes,no,2,5,3,3,4,13,8,10,1,1,0
17,1,1,4,1,1,yes,yes,no,yes,yes,yes,no,no,2,3,3,4,1,16,9,6,1,1,0
16,2,4,1,1,3,no,yes,no,yes,no,yes,yes,no,3,1,5,2,2,11,11,6,1,1,0
16,1,4,1,1,1,no,no,yes,no,yes,yes,no,yes,3,2,2,1,5,0,6,12,1,1,0
16,3,3,1,4,2,no,yes,no,no,yes,no,yes,yes,2,4,4,2,2,0,6,11,1,1,0
18,2,4,4,2,2,no,yes,yes,no,yes,yes,no,no,3,5,5,3,5,12,11,9,1,1,0
15,2,4,2,2,1,no,no,yes,no,yes,no,no,no,4,3,1,2,1,6,6,9,1,1,0
15,2,3,2,4,0,yes,no,yes,no,yes,yes,no,no,3,4,2,3,1,11,9,11,1,1,0
20,3,3,1,3,2,yes,yes,no,no,no,yes,yes,no,3,4,5,3,5,13,11,9,1,1,0
15,2,3,2,3,3,no,yes,no,no,yes,yes,no,no,3,3,1,1,2,5,9,4,1,1,0
19,1,3,2,2,2,yes,yes,no,no,no,no,yes,no,5,3,4,1,4,9,11,10,1,1,0
18,2,3,4,3,2,no,yes,no,no,yes,no,yes,yes,5,4,4,2,2,11,11,6,1,1,0
15,0,3,2,3,2,no,yes,no,yes,no,yes,no,no,1,2,3,2,4,10,12,8,1,1,0
21,2,4,4,2,1,yes,yes,no,no,yes,yes,yes,yes,3,1,3,5,5,9,12,5,1,1,0
15,4,2,3,3,2,no,yes,no,yes,yes,no,yes,no,5,5,4,3,5,2,11,4,1,1,0
20,4,3,3,3,2,yes,yes,no,no,yes,yes,yes,no,4,2,2,2,4,22,10,13,1,1,0
21,4,4,3,4,3,no,yes,no,yes,no,yes,yes,yes,5,4,4,1,5,21,9,7,1,1,0
