age,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,absences,G1,G2,sex,health,Probability
16,0,3,3,2,0,no,no,no,yes,yes,yes,no,no,4,1,4,4,1,2,13,16,0,0,1
15,0,3,1,4,0,no,yes,no,no,no,no,yes,no,4,2,5,2,2,2,16,19,0,0,1
17,0,3,3,2,1,yes,yes,no,no,no,yes,no,yes,5,4,5,1,2,6,18,17,0,0,1
15,0,4,4,3,0,yes,no,no,yes,yes,no,yes,no,4,4,2,1,1,20,12,14,0,0,1
15,3,1,2,3,0,no,yes,yes,yes,no,yes,yes,yes,1,5,1,4,2,12,19,14,0,0,1
16,0,2,2,3,1,no,no,yes,no,no,yes,no,no,4,3,5,2,4,1,10,10,0,0,1
17,4,2,2,2,0,no,yes,no,no,yes,yes,yes,no,5,1,2,2,5,5,17,14,0,0,1
16,1,2,4,3,0,no,no,yes,no,yes,yes,yes,no,3,2,2,1,5,24,11,13,0,0,1
16,3,1,4,1,0,no,yes,yes,yes,yes,yes,yes,no,4,2,3,2,2,5,14,18,0,0,1
20,2,2,2,2,2,no,no,no,yes,yes,no,yes,no,3,1,3,2,1,2,19,15,0,0,1
20,3,1,4,3,0,no,no,yes,yes,yes,no,no,no,4,5,5,2,5,0,17,14,0,0,1
20,3,2,1,1,1,no,yes,no,yes,yes,no,yes,yes,5,4,4,1,3,2,16,15,0,0,1
15,3,4,3,4,1,no,no,no,yes,yes,no,yes,no,5,1,3,1,5,0,17,10,0,0,1
18,1,1,1,1,0,no,yes,no,no,no,yes,no,no,2,3,1,1,5,30,12,11,0,0,1
15,0,3,2,4,2,yes,yes,yes,no,yes,no,no,yes,3,1,2,1,1,2,19,16,0,0,1
18,3,2,3,2,0,yes,yes,no,no,no,yes,yes,yes,3,2,5,4,1,8,10,16,0,0,1
17,1,1,2,2,1,yes,no,yes,yes,no,yes,yes,no,4,4,1,3,4,14,12,10,0,0,1
15,2,4,1,4,0,yes,yes,yes,yes,yes,no,yes,no,5,3,5,1,4,24,19,10,0,0,1
20,2,3,1,2,0,no,yes,no,no,yes,yes,yes,no,3,2,3,1,5,4,11,18,0,0,1
