age,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,absences,G1,G2,sex,health,Probability
15,3,2,2,3,1,no,no,no,no,no,yes,no,yes,1,5,3,3,1,17,9,12,0,0,0
17,4,1,1,2,1,no,no,yes,no,yes,no,no,yes,4,5,3,1,1,6,10,8,0,0,0
19,2,1,1,4,1,no,no,no,no,yes,yes,yes,yes,4,3,1,1,3,22,9,9,0,0,0
15,3,4,3,2,0,no,no,yes,no,no,no,yes,no,3,3,2,3,3,5,6,10,0,0,0
16,1,4,2,3,3,no,no,no,no,yes,no,yes,no,4,2,3,2,3,56,10,11,0,0,0
15,2,1,3,2,0,no,no,no,no,yes,yes,no,yes,3,5,2,3,1,14,8,11,0,0,0
18,2,2,2,2,3,no,yes,no,no,yes,no,yes,yes,1,5,2,1,1,56,10,9,0,0,0
17,4,2,1,2,1,yes,no,yes,no,yes,yes,yes,no,3,5,1,2,4,25,12,6,0,0,0
15,4,4,1,2,0,no,yes,no,no,no,no,no,yes,3,2,3,1,1,40,9,9,0,0,0
15,3,2,1,1,2,no,no,no,no,yes,yes,yes,yes,3,2,3,2,2,3,9,0,0,0,0
17,1,2,2,2,0,no,no,no,no,no,yes,no,yes,3,3,2,4,2,40,11,7,0,0,0
17,4,3,3,3,2,no,yes,yes,no,no,yes,no,yes,3,4,1,2,2,24,12,8,0,0,0
15,3,3,2,3,3,no,yes,no,no,no,yes,yes,yes,2,2,5,2,3,4,0,8,0,0,0
20,2,3,2,2,1,no,yes,yes,no,yes,yes,yes,yes,1,3,1,3,4,4,5,0,0,0,0
16,1,4,1,2,0,no,yes,no,yes,no,no,yes,yes,4,5,5,4,3,26,9,5,0,0,0
20,4,2,1,3,0,no,no,no,no,yes,no,yes,no,1,1,4,2,1,14,10,7,0,0,0
20,3,1,1,4,2,yes,no,no,yes,no,yes,no,yes,3,4,1,1,1,3,8,7,0,0,0
16,3,3,2,3,0,no,yes,no,no,yes,no,yes,no,1,2,4,4,3,1,10,7,0,0,0
18,4,1,1,2,3,no,yes,yes,no,yes,yes,yes,yes,4,3,3,1,1,10,0,10,0,0,0
15,2,2,1,3,2,yes,no,yes,no,yes,yes,yes,no,4,4,3,4,4,4,10,12,0,0,0
17,2,3,1,4,3,no,no,yes,yes,yes,no,no,no,5,4,2,1,1,24,10,7,0,0,0
15,2,2,3,4,1,no,yes,yes,no,no,yes,no,no,3,1,1,1,2,2,5,6,0,0,0
16,1,3,1,4,0,no,no,yes,no,yes,yes,yes,no,4,4,4,2,3,0,0,6,0,0,0
16,2,3,2,2,0,yes,no,yes,no,no,yes,yes,no,2,5,1,2,3,0,6,10,0,0,0
18,4,3,2,4,2,no,no,no,no,no,no,yes,no,3,3,2,4,2,5,7,12,0,0,0
15,4,2,3,2,0,yes,no,no,yes,yes,yes,yes,yes,3,4,2,3,3,4,7,0,0,0,0
