age,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,absences,G1,G2,sex,health,Probability
17,3,2,3,3,1,no,no,no,yes,yes,no,yes,no,4,5,2,5,1,14,7,11,0,1,0
19,3,0,2,2,2,yes,no,no,yes,yes,no,yes,no,2,4,3,1,5,15,9,11,0,1,0
16,4,0,2,2,0,no,yes,no,no,yes,yes,yes,yes,5,4,1,3,5,12,5,11,0,1,0
17,4,1,1,4,0,yes,no,yes,no,yes,yes,no,yes,2,4,1,5,4,75,12,11,0,1,0
19,2,2,4,1,0,yes,yes,no,no,yes,no,yes,yes,4,4,3,5,1,75,6,7,0,1,0
18,1,1,3,2,1,no,no,no,no,yes,no,no,yes,1,3,4,4,5,9,12,9,0,1,0
20,3,4,4,3,0,no,no,yes,yes,yes,yes,no,no,1,2,3,4,3,54,8,11,0,1,0
19,2,1,3,1,2,yes,yes,no,no,yes,no,no,yes,4,1,2,3,2,8,4,10,0,1,0
20,4,1,4,4,2,yes,yes,no,no,yes,yes,no,yes,5,1,3,5,2,9,14,7,0,1,0
19,1,4,3,2,0,yes,yes,no,yes,yes,yes,no,no,1,1,3,2,2,6,5,13,0,1,0
16,4,4,4,1,2,no,yes,no,no,yes,yes,yes,yes,3,3,4,1,3,16,8,10,0,1,0
19,3,1,3,1,1,no,yes,yes,yes,yes,yes,yes,no,4,1,2,4,1,0,10,8,0,1,0
16,3,4,3,1,1,yes,no,no,no,no,yes,yes,yes,2,3,1,4,1,0,4,13,0,1,0
18,1,0,1,1,0,no,no,yes,yes,yes,no,yes,yes,2,1,4,5,1,4,14,11,0,1,0
18,0,1,2,1,0,no,yes,yes,yes,yes,no,yes,yes,4,4,4,5,3,4,10,7,0,1,0
20,2,2,3,4,0,yes,yes,no,yes,yes,no,yes,no,2,3,1,5,3,0,8,10,0,1,0
16,4,1,1,1,2,no,no,yes,yes,yes,no,yes,no,4,4,1,1,2,0,13,9,0,1,0
18,3,1,1,2,0,no,no,no,yes,yes,no,no,no,4,5,1,2,1,75,13,10,0,1,0
16,3,0,2,3,2,no,no,no,yes,no,yes,yes,no,4,4,2,3,5,2,13,9,0,1,0
16,1,4,3,2,2,yes,yes,no,no,yes,yes,no,no,4,1,2,5,1,54,14,11,0,1,0
16,3,3,1,4,0,yes,no,no,yes,yes,yes,no,yes,1,3,2,1,4,6,12,0,0,1,0
16,4,2,2,3,0,no,no,no,yes,yes,yes,yes,yes,3,2,2,3,1,75,7,13,0,1,0
20,1,4,1,1,3,no,yes,no,yes,no,no,yes,no,2,4,5,3,1,14,8,8,0,1,0
17,1,2,2,1,1,no,yes,yes,no,no,yes,yes,no,2,5,5,1,2,28,4,12,0,1,0
15,2,4,4,4,0,yes,yes,no,no,no,no,yes,yes,4,5,4,1,2,4,10,7,0,1,0
17,0,1,2,2,0,yes,no,yes,no,yes,yes,no,no,4,4,4,4,1,6,6,0,0,1,0
18,1,3,1,1,1,yes,yes,yes,yes,yes,no,no,yes,2,2,1,3,2,3,8,9,0,1,0
15,1,0,2,4,1,no,no,no,no,no,yes,no,yes,2,3,3,2,1,11,6,0,0,1,0
16,4,4,2,2,0,no,yes,no,no,no,no,yes,yes,5,3,5,1,5,10,5,0,0,1,0
15,1,1,3,3,1,yes,no,no,yes,yes,no,no,yes,1,3,2,5,1,14,11,12,0,1,0
20,0,1,1,2,1,yes,no,yes,yes,yes,no,yes,no,1,2,1,1,5,75,11,8,0,1,0
19,0,3,2,2,2,no,yes,no,no,no,no,yes,no,3,5,4,4,3,10,8,10,0,1,0
16,0,3,2,4,3,yes,no,yes,yes,no,yes,no,yes,1,3,3,5,1,28,7,6,0,1,0
19,0,1,3,2,1,yes,yes,yes,no,yes,yes,yes,yes,4,4,5,1,1,0,13,12,0,1,0
18,1,3,2,3,0,yes,no,no,no,yes,no,yes,no,4,2,4,1,3,54,12,9,0,1,0
18,0,1,4,2,2,yes,yes,yes,no,yes,no,yes,no,1,2,3,2,2,6,6,12,0,1,0
18,2,2,3,1,3,yes,no,yes,yes,no,no,no,no,3,3,4,2,5,10,13,0,0,1,0
15,4,2,1,3,1,yes,yes,yes,yes,yes,yes,yes,no,1,2,5,2,1,15,4,5,0,1,0
17,1,0,1,3,0,yes,yes,no,no,yes,yes,no,no,2,5,4,2,5,5,8,8,0,1,0
15,0,3,4,3,3,no,yes,yes,yes,yes,no,yes,yes,4,4,3,1,1,9,14,8,0,1,0
15,3,2,1,3,3,no,no,no,yes,yes,yes,yes,no,4,3,4,4,5,9,13,9,0,1,0
19,3,2,2,3,0,no,no,no,yes,no,yes,yes,no,1,2,3,2,5,5,13,11,0,1,0
18,4,1,3,1,1,yes,yes,no,yes,no,yes,yes,no,1,4,4,3,3,12,10,10,0,1,0
19,1,2,4,3,0,no,no,no,yes,yes,yes,yes,yes,4,3,4,4,4,4,8,7,0,1,0
18,2,0,3,4,0,yes,yes,no,yes,yes,yes,yes,yes,5,4,4,1,1,11,13,9,0,1,0
19,3,1,1,2,3,no,no,yes,yes,no,yes,yes,no,5,5,1,5,5,9,8,9,0,1,0
17,3,2,1,2,0,yes,yes,no,yes,yes,no,yes,no,3,3,2,3,5,54,6,10,0,1,0
19,2,0,2,2,0,yes,no,no,yes,yes,yes,yes,no,4,2,5,4,4,16,6,5,0,1,0
16,3,2,4,2,3,no,no,yes,no,no,no,yes,yes,1,1,2,2,2,5,7,9,0,1,0
15,3,4,2,1,1,no,no,no,yes,yes,yes,no,no,5,4,3,3,5,16,11,5,0,1,0
16,3,1,1,3,2,yes,no,no,yes,yes,no,yes,no,2,2,3,5,2,0,9,10,0,1,0
17,4,4,4,2,0,no,no,no,yes,yes,yes,no,no,4,4,3,5,4,4,6,0,0,1,0
19,1,2,4,4,3,no,no,no,no,yes,yes,no,no,4,4,3,2,2,3,6,9,0,1,0
17,0,3,3,3,2,yes,no,no,no,yes,no,yes,yes,1,3,5,3,1,10,10,11,0,1,0
18,2,2,3,1,2,yes,no,no,yes,yes,yes,yes,yes,5,3,3,2,2,11,12,5,0,1,0
16,1,4,2,2,2,yes,yes,yes,no,no,yes,yes,no,2,4,4,1,1,9,8,10,0,1,0
18,2,1,1,1,1,yes,yes,no,no,no,yes,yes,no,5,5,3,1,5,16,12,10,0,1,0
17,3,2,1,4,2,yes,yes,no,yes,no,yes,no,yes,3,1,5,4,2,14,14,6,0,1,0
17,2,0,3,2,1,no,yes,yes,yes,yes,no,yes,yes,3,4,2,5,2,6,4,0,0,1,0
